stable_id,uid,source_match_id,fifa_match_number,stage,group_or_round,home_team,away_team,kickoff_source_raw,kickoff_utc,kickoff_brt,venue_name,city,country,source_url,source_api_url,source_last_seen_at,source_hash,stage_id,group_id,match_status,time_defined,home_team_code,away_team_code,venue_country_code,duration_minutes
fifa-wc2026-match-001,fifa-wc2026-match-001@fifa-world-cup-2026-calendar.local,400021443,1,Primeira fase,Grupo A,México,África do Sul,"{""Date"": ""2026-06-11T19:00:00Z"", ""LocalDate"": ""2026-06-11T13:00:00Z"", ""TimeDefined"": true}",2026-06-11T19:00:00Z,2026-06-11T16:00:00-03:00,Estádio da Cidade do México,Cidade do México,México,https://www.fifa.com/pt/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,https://api.fifa.com/api/v3/calendar/matches?language=pt&count=500&idSeason=285023,2026-04-19T22:22:13.539611Z,76eedcb7804d66d0c16f433278a767663ac9e40189866991af04f2c80053578c,289273,289275,1,True,MEX,RSA,MEX,180
fifa-wc2026-match-002,fifa-wc2026-match-002@fifa-world-cup-2026-calendar.local,400021441,2,Primeira fase,Grupo A,República da Coreia,Tchéquia,"{""Date"": ""2026-06-12T02:00:00Z"", ""LocalDate"": ""2026-06-11T20:00:00Z"", ""TimeDefined"": true}",2026-06-12T02:00:00Z,2026-06-11T23:00:00-03:00,Estádio de Guadalajara,Guadalajara,México,https://www.fifa.com/pt/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,https://api.fifa.com/api/v3/calendar/matches?language=pt&count=500&idSeason=285023,2026-04-19T22:22:13.539611Z,8c07959ee74acb1cb9420a770487d265435a97cdd31a1ed2c2cff8561fcd935f,289273,289275,1,True,KOR,CZE,MEX,180
fifa-wc2026-match-003,fifa-wc2026-match-003@fifa-world-cup-2026-calendar.local,400021449,3,Primeira fase,Grupo B,Canadá,Bósnia e Herzegovina,"{""Date"": ""2026-06-12T19:00:00Z"", ""LocalDate"": ""2026-06-12T15:00:00Z"", ""TimeDefined"": true}",2026-06-12T19:00:00Z,2026-06-12T16:00:00-03:00,Estádio de Toronto ,Toronto,Canadá,https://www.fifa.com/pt/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,https://api.fifa.com/api/v3/calendar/matches?language=pt&count=500&idSeason=285023,2026-04-19T22:22:13.539611Z,b0d63b18ad39c97e1c3626e2018c8fa6cb9cb6de8eb272710253f785f084caaa,289273,289276,1,True,CAN,BIH,CAN,180
fifa-wc2026-match-004,fifa-wc2026-match-004@fifa-world-cup-2026-calendar.local,400021458,4,Primeira fase,Grupo D,EUA,Paraguai,"{""Date"": ""2026-06-13T01:00:00Z"", ""LocalDate"": ""2026-06-12T18:00:00Z"", ""TimeDefined"": true}",2026-06-13T01:00:00Z,2026-06-12T22:00:00-03:00,Estádio de Los Angeles,Los Angeles,Estados Unidos,https://www.fifa.com/pt/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,https://api.fifa.com/api/v3/calendar/matches?language=pt&count=500&idSeason=285023,2026-04-19T22:22:13.539611Z,4ed3d474e195c4a7077c4cabf3b8a94f227a71e72cc5a7e0b9157101033bd2a8,289273,289278,1,True,USA,PAR,USA,180
fifa-wc2026-match-005,fifa-wc2026-match-005@fifa-world-cup-2026-calendar.local,400021453,5,Primeira fase,Grupo C,Haiti,Escócia,"{""Date"": ""2026-06-14T01:00:00Z"", ""LocalDate"": ""2026-06-13T21:00:00Z"", ""TimeDefined"": true}",2026-06-14T01:00:00Z,2026-06-13T22:00:00-03:00,Estádio de Boston,Boston,Estados Unidos,https://www.fifa.com/pt/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,https://api.fifa.com/api/v3/calendar/matches?language=pt&count=500&idSeason=285023,2026-04-19T22:22:13.539611Z,804eb09ac7fee6fedfe9d40ad489b040d5e3e4282d6922db073073e929b70fe0,289273,289277,1,True,HAI,SCO,USA,180
fifa-wc2026-match-006,fifa-wc2026-match-006@fifa-world-cup-2026-calendar.local,400021463,6,Primeira fase,Grupo D,Austrália,Turquia,"{""Date"": ""2026-06-14T04:00:00Z"", ""LocalDate"": ""2026-06-13T21:00:00Z"", ""TimeDefined"": true}",2026-06-14T04:00:00Z,2026-06-14T01:00:00-03:00,BC Place de Vancouver,Vancouver,Canadá,https://www.fifa.com/pt/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,https://api.fifa.com/api/v3/calendar/matches?language=pt&count=500&idSeason=285023,2026-04-19T22:22:13.539611Z,66343805a7daa71270f1adcab75729fa703009c07f66358f9027b81e33a839bb,289273,289278,1,True,AUS,TUR,CAN,180
fifa-wc2026-match-007,fifa-wc2026-match-007@fifa-world-cup-2026-calendar.local,400021456,7,Primeira fase,Grupo C,Brasil,Marrocos,"{""Date"": ""2026-06-13T22:00:00Z"", ""LocalDate"": ""2026-06-13T18:00:00Z"", ""TimeDefined"": true}",2026-06-13T22:00:00Z,2026-06-13T19:00:00-03:00,Estádio de Nova York/Nova Jersey,Nova Iorque,Estados Unidos,https://www.fifa.com/pt/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,https://api.fifa.com/api/v3/calendar/matches?language=pt&count=500&idSeason=285023,2026-04-19T22:22:13.539611Z,8da7eb1e0f5b17166a935ccf86d65aeddb7474d62cc9c129dbdf08f0dbbfb489,289273,289277,1,True,BRA,MAR,USA,180
fifa-wc2026-match-008,fifa-wc2026-match-008@fifa-world-cup-2026-calendar.local,400021447,8,Primeira fase,Grupo B,Catar,Suíça,"{""Date"": ""2026-06-13T19:00:00Z"", ""LocalDate"": ""2026-06-13T12:00:00Z"", ""TimeDefined"": true}",2026-06-13T19:00:00Z,2026-06-13T16:00:00-03:00,Estádio da Baía de São Francisco,Área da baía de São Francisco,Estados Unidos,https://www.fifa.com/pt/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,https://api.fifa.com/api/v3/calendar/matches?language=pt&count=500&idSeason=285023,2026-04-19T22:22:13.539611Z,00d1c38b9407330603de1d02a65c66b27abdbd0b747af1d7667ac228c012cadc,289273,289276,1,True,QAT,SUI,USA,180
fifa-wc2026-match-009,fifa-wc2026-match-009@fifa-world-cup-2026-calendar.local,400021467,9,Primeira fase,Grupo E,Costa do Marfim,Equador,"{""Date"": ""2026-06-14T23:00:00Z"", ""LocalDate"": ""2026-06-14T19:00:00Z"", ""TimeDefined"": true}",2026-06-14T23:00:00Z,2026-06-14T20:00:00-03:00,Estádio de Filadélfia,Filadélfia,Estados Unidos,https://www.fifa.com/pt/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,https://api.fifa.com/api/v3/calendar/matches?language=pt&count=500&idSeason=285023,2026-04-19T22:22:13.539611Z,4c9b2df50c67990ba5d8060809df94fa07092092305073ec49b46aa35de7ddba,289273,289279,1,True,CIV,ECU,USA,180
fifa-wc2026-match-010,fifa-wc2026-match-010@fifa-world-cup-2026-calendar.local,400021464,10,Primeira fase,Grupo E,Alemanha,Curaçau,"{""Date"": ""2026-06-14T17:00:00Z"", ""LocalDate"": ""2026-06-14T12:00:00Z"", ""TimeDefined"": true}",2026-06-14T17:00:00Z,2026-06-14T14:00:00-03:00,Estádio de Houston,Houston,Estados Unidos,https://www.fifa.com/pt/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,https://api.fifa.com/api/v3/calendar/matches?language=pt&count=500&idSeason=285023,2026-04-19T22:22:13.539611Z,48205007189e8a17ec3d73f710257739c49dc0a0f85acf31ea015accb6652d41,289273,289279,1,True,GER,CUW,USA,180
fifa-wc2026-match-011,fifa-wc2026-match-011@fifa-world-cup-2026-calendar.local,400021470,11,Primeira fase,Grupo F,Holanda,Japão,"{""Date"": ""2026-06-14T20:00:00Z"", ""LocalDate"": ""2026-06-14T15:00:00Z"", ""TimeDefined"": true}",2026-06-14T20:00:00Z,2026-06-14T17:00:00-03:00,Estádio de Dallas,Dallas,Estados Unidos,https://www.fifa.com/pt/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,https://api.fifa.com/api/v3/calendar/matches?language=pt&count=500&idSeason=285023,2026-04-19T22:22:13.539611Z,0be7501e07865a0c6e20e7e76d64387788d785b33529e119e73c5494b7700d25,289273,289280,1,True,NED,JPN,USA,180
fifa-wc2026-match-012,fifa-wc2026-match-012@fifa-world-cup-2026-calendar.local,400021474,12,Primeira fase,Grupo F,Suécia,Tunísia,"{""Date"": ""2026-06-15T02:00:00Z"", ""LocalDate"": ""2026-06-14T20:00:00Z"", ""TimeDefined"": true}",2026-06-15T02:00:00Z,2026-06-14T23:00:00-03:00,Estádio de Monterrey,Monterrey,México,https://www.fifa.com/pt/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,https://api.fifa.com/api/v3/calendar/matches?language=pt&count=500&idSeason=285023,2026-04-19T22:22:13.539611Z,5a76b396b8b5370c430028301cb023a47b2d6e0b7516ca6f64eccd2c5ba387d7,289273,289280,1,True,SWE,TUN,MEX,180
fifa-wc2026-match-013,fifa-wc2026-match-013@fifa-world-cup-2026-calendar.local,400021486,13,Primeira fase,Grupo H,Arábia Saudita,Uruguai,"{""Date"": ""2026-06-15T22:00:00Z"", ""LocalDate"": ""2026-06-15T18:00:00Z"", ""TimeDefined"": true}",2026-06-15T22:00:00Z,2026-06-15T19:00:00-03:00,Estádio de Miami,Miami,Estados Unidos,https://www.fifa.com/pt/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,https://api.fifa.com/api/v3/calendar/matches?language=pt&count=500&idSeason=285023,2026-04-19T22:22:13.539611Z,06a05703517365f3a6b38563c41a4b416ef3f486c7d1f64e642a61896286d8a2,289273,289282,1,True,KSA,URU,USA,180
fifa-wc2026-match-014,fifa-wc2026-match-014@fifa-world-cup-2026-calendar.local,400021482,14,Primeira fase,Grupo H,Espanha,Cabo Verde,"{""Date"": ""2026-06-15T16:00:00Z"", ""LocalDate"": ""2026-06-15T12:00:00Z"", ""TimeDefined"": true}",2026-06-15T16:00:00Z,2026-06-15T13:00:00-03:00,Estádio de Atlanta,Atlanta,Estados Unidos,https://www.fifa.com/pt/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,https://api.fifa.com/api/v3/calendar/matches?language=pt&count=500&idSeason=285023,2026-04-19T22:22:13.539611Z,19d8564dc6d7107543ec1238b1a98dc3da9edbbe59e39e24a579fd48508d091b,289273,289282,1,True,ESP,CPV,USA,180
fifa-wc2026-match-015,fifa-wc2026-match-015@fifa-world-cup-2026-calendar.local,400021476,15,Primeira fase,Grupo G,RI do Irã,Nova Zelândia,"{""Date"": ""2026-06-16T01:00:00Z"", ""LocalDate"": ""2026-06-15T18:00:00Z"", ""TimeDefined"": true}",2026-06-16T01:00:00Z,2026-06-15T22:00:00-03:00,Estádio de Los Angeles,Los Angeles,Estados Unidos,https://www.fifa.com/pt/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,https://api.fifa.com/api/v3/calendar/matches?language=pt&count=500&idSeason=285023,2026-04-19T22:22:13.539611Z,9e818ed082e50f01fb9b6cc7bb782db932fcc61eb01853488443606c0e475381,289273,289281,1,True,IRN,NZL,USA,180
